Ligand,Pocket,Best Score (kcal/mol),All Scores
CIMG_09093_prepared_Tacrolimus,13,-7.0,"[-7.0, 0.0, 0.0, -6.9, 3.58, 8.435, -6.8, 2.341, 5.329, -6.7, 2.522, 10.624, -6.7, 3.069, 10.672, -6.5, 2.592, 10.315, -6.5, 3.967, 12.622, -6.5, 4.024, 12.469, -6.5, 2.591, 6.167, -6.4, 7.58, 11.873]"
CIMG_09093_prepared_Tacrolimus,21,-6.5,"[-6.5, 0.0, 0.0, -6.3, 1.089, 1.618, -6.2, 4.308, 8.618, -6.1, 2.25, 10.106, -6.0, 6.716, 11.418, -5.8, 6.894, 10.873, -5.8, 3.371, 9.769, -5.7, 11.996, 16.15, -5.7, 3.983, 8.534, -5.6, 3.384, 9.945]"
CIMG_09093_prepared_Tacrolimus,17,-8.8,"[-8.8, 0.0, 0.0, -8.4, 7.526, 10.506, -8.3, 3.781, 7.723, -8.3, 5.203, 8.941, -8.3, 4.806, 8.767, -8.3, 10.365, 13.872, -8.2, 2.433, 3.461, -8.2, 5.482, 10.572, -8.2, 11.739, 15.52, -8.2, 10.203, 14.637]"
CIMG_09093_prepared_Tacrolimus,16,-7.3,"[-7.3, 0.0, 0.0, -6.1, 2.822, 4.817, -5.9, 2.273, 3.514, -5.1, 3.023, 5.964, -4.8, 16.982, 21.846, -4.5, 2.888, 10.13, -4.4, 2.872, 10.56, -4.3, 3.678, 9.909, -4.1, 2.999, 10.262, -4.1, 19.739, 24.007]"
CIMG_09093_prepared_Tacrolimus,20,-7.0,"[-7.0, 0.0, 0.0, -6.7, 6.343, 13.061, -6.7, 4.232, 8.083, -6.7, 3.835, 6.194, -6.5, 2.951, 5.817, -6.4, 3.553, 9.544, -6.4, 3.488, 5.147, -6.3, 3.237, 7.256, -6.3, 2.676, 10.557, -6.1, 3.647, 6.321]"
CIMG_09093_prepared_Tacrolimus,6,-6.4,"[-6.4, 0.0, 0.0, -6.3, 6.62, 11.268, -6.0, 2.953, 10.138, -5.8, 7.214, 11.967, -5.8, 2.016, 2.711, -5.8, 0.897, 1.505, -5.8, 1.676, 2.425, -5.8, 4.347, 11.322, -5.7, 4.535, 12.566, -5.7, 5.049, 10.16]"
CIMG_09093_prepared_Verapamil,5,-5.8,"[-5.8, 0.0, 0.0, -5.8, 0.741, 1.638, -5.7, 2.084, 8.16, -5.6, 2.926, 8.485, -5.5, 4.183, 6.37, -5.5, 2.377, 8.454, -5.5, 4.325, 6.69, -5.4, 1.493, 2.149, -5.4, 1.505, 2.249, -5.4, 2.765, 4.987]"
CIMG_09093_prepared_Verapamil,12,-7.7,"[-7.7, 0.0, 0.0, -7.6, 0.883, 1.786, -7.4, 2.619, 4.879, -7.3, 2.061, 6.813, -7.2, 1.902, 7.139, -7.2, 2.564, 7.164, -7.1, 1.987, 7.319, -7.1, 2.793, 4.595, -7.0, 3.432, 7.535, -7.0, 2.793, 7.564]"
CIMG_09093_prepared_Verapamil,1,-7.3,"[-7.3, 0.0, 0.0, -7.1, 2.838, 5.236, -7.1, 7.612, 13.907, -7.0, 8.667, 13.014, -6.8, 5.179, 12.206, -6.7, 5.331, 12.412, -6.7, 2.576, 12.101, -6.6, 7.914, 13.199, -6.5, 8.413, 11.681, -6.5, 8.802, 13.383]"
CIMG_09093_prepared_Verapamil,14,-6.0,"[-6.0, 0.0, 0.0, -6.0, 1.262, 2.013, -6.0, 2.14, 3.335, -5.9, 1.798, 2.661, -5.8, 2.47, 4.312, -5.7, 2.414, 4.15, -5.7, 3.13, 5.291, -5.7, 1.24, 7.96, -5.7, 1.231, 8.165, -5.6, 3.121, 7.99]"
CIMG_09093_prepared_Verapamil,4,-7.6,"[-7.6, 0.0, 0.0, -7.3, 2.001, 6.886, -7.2, 2.709, 7.243, -7.2, 2.586, 4.825, -7.1, 1.381, 2.047, -7.1, 2.268, 6.831, -7.1, 2.755, 4.438, -7.0, 3.523, 5.879, -6.9, 2.67, 5.201, -6.9, 3.562, 6.192]"
CIMG_09093_prepared_Verapamil,11,-6.7,"[-6.7, 0.0, 0.0, -6.6, 2.896, 7.534, -6.6, 4.003, 8.183, -6.6, 3.906, 6.841, -6.5, 3.039, 5.469, -6.5, 4.233, 9.058, -6.5, 3.317, 8.757, -6.5, 3.502, 6.469, -6.5, 5.099, 7.381, -6.5, 4.8, 9.386]"
CIMG_09093_prepared_Verapamil,18,-5.1,"[-5.1, 0.0, 0.0, -5.1, 1.52, 2.104, -4.0, 1.131, 1.999, -3.7, 1.796, 3.054, -2.7, 2.033, 3.79, -2.7, 1.643, 2.244, -1.7, 2.902, 11.567, -1.2, 2.513, 11.538]"
CIMG_09093_prepared_Verapamil,19,-7.7,"[-7.7, 0.0, 0.0, -7.7, 4.96, 10.969, -7.7, 5.724, 13.672, -7.7, 2.338, 10.467, -7.7, 5.108, 7.576, -7.7, 1.358, 2.111, -7.6, 5.301, 10.988, -7.5, 3.588, 5.744, -7.5, 1.348, 2.637, -7.5, 3.527, 5.695]"
CIMG_09093_prepared_Verapamil,22,-3.5,"[-3.5, 0.0, 0.0, -3.5, 3.407, 6.161, -3.5, 3.158, 6.122, -3.2, 2.329, 4.615, -3.2, 3.517, 6.115, -3.1, 2.364, 4.052, -2.5, 3.629, 6.668, -1.3, 2.506, 4.617, -1.1, 2.47, 5.089, -0.9, 3.063, 5.797]"
CIMG_09093_prepared_Verapamil,3,-6.3,"[-6.3, 0.0, 0.0, -6.3, 3.314, 7.567, -6.2, 8.206, 11.467, -6.1, 3.189, 7.086, -6.1, 3.436, 7.467, -6.1, 3.391, 6.447, -6.1, 3.782, 7.321, -6.1, 3.989, 7.164, -6.1, 3.408, 7.06, -6.0, 3.291, 7.431]"
CIMG_09093_prepared_Verapamil,9,-6.7,"[-6.7, 0.0, 0.0, -6.6, 3.221, 6.822, -6.5, 2.003, 2.609, -6.5, 5.685, 10.871, -6.5, 5.056, 10.611, -6.5, 7.862, 11.744, -6.5, 1.984, 6.735, -6.5, 2.008, 6.484, -6.5, 6.054, 10.509, -6.5, 2.915, 7.398]"
CIMG_09093_prepared_Verapamil,8,-7.6,"[-7.6, 0.0, 0.0, -7.5, 1.782, 3.587, -7.5, 2.45, 6.34, -7.4, 2.338, 4.41, -7.3, 2.934, 6.961, -7.3, 3.012, 6.138, -7.3, 1.855, 3.208, -7.3, 2.57, 5.042, -7.2, 2.564, 6.345, -7.2, 2.412, 6.029]"
CIMG_09093_prepared_Verapamil,10,-5.8,"[-5.8, 0.0, 0.0, -5.8, 1.865, 3.268, -5.7, 1.847, 6.151, -5.6, 2.007, 6.637, -5.6, 1.947, 3.089, -5.5, 1.881, 6.485, -5.5, 2.719, 5.843, -5.4, 3.495, 6.303, -5.4, 1.961, 6.583, -5.4, 1.855, 6.128]"
CIMG_09093_prepared_Verapamil,2,-7.4,"[-7.4, 0.0, 0.0, -7.2, 3.046, 7.334, -7.2, 1.054, 1.932, -7.1, 1.841, 2.728, -6.9, 1.419, 2.586, -6.9, 1.372, 2.671, -6.9, 2.798, 5.612, -6.8, 1.833, 3.328, -6.8, 2.957, 6.984, -6.6, 3.267, 7.586]"
CIMG_09093_prepared_Verapamil,15,-5.2,"[-5.2, 0.0, 0.0, -5.0, 1.178, 1.751, -4.7, 3.161, 6.654, -4.7, 1.248, 2.079, -4.7, 2.907, 5.924, -4.6, 3.237, 6.975, -4.6, 3.616, 6.907, -4.6, 2.753, 6.337, -4.6, 3.517, 7.477, -4.5, 2.407, 4.612]"
CIMG_09093_prepared_Verapamil,7,-5.0,"[-5.0, 0.0, 0.0, -4.9, 6.79, 11.273, -4.4, 3.78, 6.422, -4.4, 5.469, 8.155, -4.2, 5.4, 8.105, -4.1, 3.957, 6.8, -4.0, 4.77, 7.408, -3.8, 3.929, 6.713, -3.8, 7.89, 12.371, -3.7, 5.232, 7.691]"
CIMG_09093_prepared_Verapamil,13,-5.9,"[-5.9, 0.0, 0.0, -5.9, 5.781, 11.593, -5.9, 3.358, 6.36, -5.8, 5.7, 11.609, -5.7, 7.305, 11.521, -5.7, 3.251, 6.175, -5.7, 2.444, 6.367, -5.7, 2.028, 3.368, -5.6, 2.943, 5.907, -5.6, 2.73, 4.834]"
CIMG_09093_prepared_Verapamil,21,-5.5,"[-5.5, 0.0, 0.0, -5.5, 2.88, 6.646, -5.4, 0.757, 1.768, -5.3, 3.43, 6.821, -5.3, 3.115, 7.053, -5.3, 5.618, 9.602, -5.3, 4.137, 7.389, -5.2, 3.669, 7.0, -5.2, 2.436, 6.581, -5.2, 3.574, 6.678]"
CIMG_09093_prepared_Verapamil,17,-7.3,"[-7.3, 0.0, 0.0, -6.9, 2.41, 4.023, -6.7, 1.085, 2.01, -6.7, 1.047, 2.348, -6.6, 11.48, 14.6, -6.5, 11.663, 14.701, -6.4, 5.023, 9.05, -6.4, 5.644, 8.825, -6.4, 2.334, 6.915, -6.4, 3.644, 5.837]"
CIMG_09093_prepared_Verapamil,16,-6.0,"[-6.0, 0.0, 0.0, -5.7, 10.992, 15.741, -5.6, 10.533, 15.526, -5.5, 1.926, 2.863, -5.4, 1.328, 2.118, -5.2, 9.49, 10.677, -5.2, 10.359, 15.695, -5.2, 10.815, 16.293, -5.1, 9.518, 10.374, -4.9, 8.793, 13.793]"
CIMG_09093_prepared_Verapamil,20,-6.3,"[-6.3, 0.0, 0.0, -6.3, 1.685, 2.621, -6.2, 0.882, 1.868, -6.2, 2.543, 8.155, -6.1, 4.048, 8.443, -6.1, 2.746, 5.601, -6.1, 3.64, 8.592, -6.0, 2.756, 8.099, -6.0, 2.654, 6.899, -6.0, 3.831, 7.597]"
CIMG_09093_prepared_Verapamil,6,-6.4,"[-6.4, 0.0, 0.0, -6.0, 2.188, 8.657, -5.8, 4.51, 8.799, -5.8, 3.974, 9.013, -5.8, 1.303, 8.732, -5.8, 3.556, 6.393, -5.8, 3.307, 5.824, -5.8, 1.513, 8.471, -5.7, 2.396, 9.032, -5.7, 4.053, 8.441]"
CIMG_09093_prepared_Milbemycin,5,-7.8,"[-7.8, 0.0, 0.0, -7.5, 5.339, 8.727, -7.4, 3.765, 6.97, -7.2, 1.395, 1.647, -7.1, 3.768, 6.242, -7.1, 3.354, 7.431, -7.0, 2.198, 5.719, -7.0, 2.853, 7.991, -7.0, 3.598, 4.548, -6.9, 2.645, 6.316]"
CIMG_09093_prepared_Milbemycin,12,-8.9,"[-8.9, 0.0, 0.0, -8.8, 2.389, 5.763, -8.8, 2.757, 7.415, -8.7, 2.933, 6.376, -8.5, 2.397, 6.992, -8.5, 3.848, 5.647, -8.2, 2.02, 5.354, -8.1, 3.178, 6.835, -8.0, 3.31, 7.139, -8.0, 3.28, 8.192]"
CIMG_09093_prepared_Milbemycin,1,-5.1,"[-5.1, 0.0, 0.0, -4.3, 2.09, 2.666, -4.0, 1.755, 2.251, -3.5, 2.849, 8.29, -3.1, 2.596, 8.582, -1.4, 3.404, 5.502, -1.1, 4.277, 7.219]"
CIMG_09093_prepared_Milbemycin,14,-7.2,"[-7.2, 0.0, 0.0, -7.2, 3.42, 6.648, -7.0, 3.425, 6.321, -6.9, 2.505, 8.511, -6.9, 3.456, 6.896, -6.8, 2.904, 6.144, -6.7, 3.967, 9.041, -6.5, 2.99, 8.377, -6.3, 2.562, 8.754, -6.3, 2.405, 6.409]"
CIMG_09093_prepared_Milbemycin,4,-9.3,"[-9.3, 0.0, 0.0, -8.9, 2.641, 3.061, -8.9, 1.984, 7.47, -8.9, 2.139, 8.157, -8.9, 2.921, 7.912, -8.8, 2.942, 5.868, -8.7, 2.623, 8.745, -8.5, 2.038, 7.99, -8.5, 4.439, 7.951, -8.3, 3.531, 6.384]"
CIMG_09093_prepared_Milbemycin,11,-10.1,"[-10.1, 0.0, 0.0, -8.6, 2.427, 7.759, -8.5, 3.165, 9.299, -8.4, 2.307, 3.405, -8.2, 4.171, 9.849, -8.0, 2.9, 6.513, -7.6, 4.632, 7.892, -7.5, 3.166, 5.768, -7.4, 3.06, 6.091, -7.3, 5.511, 9.372]"
CIMG_09093_prepared_Milbemycin,18,0.0,"[40.0, 0.0, 0.0]"
CIMG_09093_prepared_Milbemycin,19,-9.8,"[-9.8, 0.0, 0.0, -9.6, 1.723, 2.135, -8.9, 1.945, 2.679, -8.6, 1.653, 7.438, -8.6, 2.59, 8.251, -8.5, 2.869, 6.222, -8.4, 3.496, 5.086, -8.3, 4.663, 8.089, -8.2, 5.627, 9.164, -8.0, 5.771, 9.886]"
CIMG_09093_prepared_Milbemycin,22,0.0,"[12.0, 0.0, 0.0]"
CIMG_09093_prepared_Milbemycin,3,-9.6,"[-9.6, 0.0, 0.0, -9.4, 1.525, 1.768, -9.1, 4.647, 6.546, -8.8, 3.587, 8.325, -8.8, 6.345, 10.472, -8.7, 4.052, 5.663, -8.6, 3.576, 6.415, -8.6, 2.66, 7.057, -8.6, 6.658, 9.799, -8.4, 5.356, 10.479]"
CIMG_09093_prepared_Milbemycin,9,-10.1,"[-10.1, 0.0, 0.0, -9.9, 3.22, 9.434, -9.8, 5.896, 11.972, -9.6, 6.59, 12.768, -9.1, 3.193, 9.024, -9.1, 3.065, 8.356, -9.0, 4.167, 8.629, -8.9, 6.188, 12.871, -8.7, 2.404, 7.751, -8.6, 6.38, 10.447]"
CIMG_09093_prepared_Milbemycin,8,-9.2,"[-9.2, 0.0, 0.0, -8.3, 7.731, 12.684, -8.1, 1.216, 1.299, -7.5, 3.903, 5.218, -7.5, 2.572, 3.162, -7.3, 2.577, 4.172, -7.0, 20.248, 22.511, -6.9, 20.356, 22.87, -6.6, 3.403, 5.47, -6.6, 12.733, 15.875]"
CIMG_09093_prepared_Milbemycin,10,-8.6,"[-8.6, 0.0, 0.0, -8.3, 2.686, 8.355, -8.3, 3.271, 6.262, -8.2, 2.551, 8.01, -8.2, 2.596, 7.625, -8.0, 5.764, 9.113, -8.0, 2.607, 7.382, -8.0, 2.915, 8.924, -8.0, 2.451, 8.026, -7.9, 3.134, 9.331]"
CIMG_09093_prepared_Milbemycin,2,-6.9,"[-6.9, 0.0, 0.0, -6.4, 3.004, 4.038, -6.3, 1.945, 2.282, -6.2, 7.038, 11.794, -6.0, 2.193, 8.096, -5.9, 7.551, 11.682, -5.9, 3.178, 6.091, -5.6, 6.94, 11.796, -5.6, 3.42, 4.971, -5.6, 5.661, 11.218]"
CIMG_09093_prepared_Milbemycin,15,-6.8,"[-6.8, 0.0, 0.0, -6.1, 3.876, 7.797, -5.7, 2.825, 5.62, -5.7, 3.956, 7.228, -5.7, 2.824, 8.31, -5.6, 3.12, 6.796, -5.6, 2.189, 7.488, -5.5, 3.387, 5.812, -5.5, 4.582, 8.191, -5.4, 1.434, 1.613]"
CIMG_09093_prepared_Milbemycin,7,0.0,"[9.0, 0.0, 0.0]"
CIMG_09093_prepared_Milbemycin,13,-8.6,"[-8.6, 0.0, 0.0, -7.9, 2.066, 2.995, -7.8, 4.373, 8.574, -7.3, 2.198, 3.333, -6.9, 4.938, 10.981, -6.7, 5.196, 12.578, -6.7, 6.176, 12.397, -6.7, 2.968, 9.293, -6.6, 6.373, 10.36, -6.6, 5.059, 8.836]"
